feature_1,feature_2,feature_3,feature_4,feature_5,target
3.218797725,-0.5800650128,12.10190623,2.970206066,-1.739139788,0
-2.661722693,-2.253159896,-9.440775811,-7.085772436,-6.670988222,1
11.86661658,-4.247248445,1.11307097,1.315035599,-2.678814273,0
0.4722055881,-5.667911507,6.080354458,2.656389582,-4.860523129,1
-9.523133942,-0.3651745398,4.367085633,5.175310473,5.685181796,0
0.3693776167,-1.135949894,-1.408282838,-3.904630659,-13.31704835,1
2.84453775,-1.119515464,-2.921445387,-8.927159806,1.557647188,1
-1.470618772,4.438372976,6.278899903,-5.199313307,3.417701406,1
9.860995093,2.121343401,3.343101515,7.054703475,-2.513067663,0
-4.024996143,2.32455163,-10.6962163,6.404705613,-4.355062416,1
-5.149624504,-8.527828837,-4.159390095,6.525293759,3.142851919,0
1.246814947,8.708647131,-5.880115752,7.512704883,-0.7670865144,0
-7.392851157,5.468680021,4.898254177,3.44132787,6.971632456,0
9.671499947,-4.580797751,1.336344153,-6.574274496,-3.077576952,0
6.457560893,2.796997493,5.950672053,-5.972841492,0.6256028893,0
-10.02831369,0.3634670317,-4.781849862,6.507803962,1.755908813,0
-3.083521758,2.042362023,-3.419078572,-2.742330324,10.54088123,1
-1.412775036,-3.919252131,0.834685868,-4.545265828,7.828626156,1
-7.048661878,-8.007793027,-2.633970735,-1.113630743,8.603118115,1
-1.933796128,6.058232685,-1.268498951,-5.914608718,-4.792344249,1
3.51384257,-3.19205292,-7.77929079,-1.774781441,-7.602400554,1
8.564185087,-7.295628332,-4.715653926,-6.79174346,-1.031198261,1
-1.202241716,4.232718335,8.008030202,-1.890000743,-3.596951464,1
2.483120154,0.05530465658,4.810806737,12.84357202,1.315238406,1
1.468273463,4.471933198,4.093151986,3.333339014,-10.90783866,0
0.2563111298,-2.195570354,4.982130867,5.398326933,7.883540688,0
-2.873706939,4.978655457,9.421557641,-3.398526102,5.96984675,0
3.707413314,5.722378567,6.417183767,-3.37003176,-4.687441572,0
-7.013507391,0.675696586,8.774719295,6.598468464,5.081206887,1
9.897637487,-1.441063137,-1.31697589,-5.676273222,-5.91655356,0
-6.319750204,-2.323708728,1.366782358,-3.83470655,-6.171553027,1
-0.942638902,-5.356880347,-7.07040983,-0.4618102283,-9.445173424,0
-3.845293469,-0.6114342576,1.380351247,10.17593253,-8.682447455,1
-11.78398462,-6.074331974,-3.44718477,-2.292146523,1.761584217,1
-4.818532061,0.9136524098,-7.968989189,3.139836508,1.607366189,1
-3.288294248,9.023872558,-9.656247957,1.062480762,-3.063471076,1
3.823010305,-1.304098889,-4.542745532,-0.6223353973,-7.915812023,1
-9.523948078,-0.5605015167,-5.826534857,0.2063917618,6.632431308,0
5.28781154,9.029330501,5.549208986,0.9450403026,-1.680303032,1
2.955792108,4.510571156,4.876717661,2.021759258,8.003009135,0
-7.824132756,-2.316799644,-5.705067992,-0.6409407493,4.632146392,0
-8.111996198,-4.867876655,-0.4699361147,-2.368425979,2.160789899,1
1.779675533,-2.690148686,5.617813246,8.789326366,-1.335579054,0
-4.280605749,7.015321171,4.96910892,5.099944447,5.075451355,1
2.049723687,-9.133763489,8.519710643,-2.061735219,-2.129970839,0
-7.79184899,-2.038352906,-3.520992228,1.588590736,-8.013189125,1
4.919995767,-7.793994374,-1.841725257,4.112756616,6.224192675,1
0.5714413497,8.324259025,2.059526586,1.939814523,4.730289243,1
-2.219178808,3.909992165,-5.986601595,4.29733293,-8.335510645,1
-2.665014283,-7.006005066,6.423490923,5.46418434,4.08595714,1
8.903432656,-4.141069437,4.616139788,-1.288494948,-7.043540664,0
-2.001247146,5.367246189,2.698278469,-8.677547107,-2.367941664,0
10.2021004,-8.966302763,1.003481931,-2.416177096,-2.162793188,1
-9.133087704,0.09718643959,-1.188896929,8.912658168,2.174468268,0
5.506121588,2.808895222,8.960568199,1.3213913,0.8688355854,0
-3.958089214,3.246142815,2.520813972,4.68740767,-6.743129307,1
9.624851603,7.392691522,-4.375782745,5.31645258,1.139386239,1
9.898368184,0.4277198532,-4.296016275,-2.075982285,0.2718542613,0
3.183401884,6.561449174,1.512758833,10.75571584,-4.983921616,1
1.227809988,-3.666901753,-3.947250585,8.156391071,1.714296264,1
8.486514473,-4.933743637,8.518411781,-0.739150623,5.15049152,1
-2.391847887,-6.441710804,-5.929104987,-8.556828458,-3.661942979,0
8.411432766,-3.238915786,-5.89669407,-6.901202737,2.315085998,0
-8.057855684,3.461972815,0.8548675811,-6.872728707,-6.642326967,0
-4.681379026,4.620936732,5.426850691,3.224297429,10.62472738,1
-5.210718668,4.918775762,-1.044252537,-6.727700708,-1.517114298,1
1.459086619,8.582698609,-4.528385349,-1.246135271,1.466023141,1
-4.037102902,-1.923404171,-7.033278222,9.89906254,-1.242527603,0
4.190849951,3.944217407,2.282405129,6.641857728,-6.209370217,0
-8.867463711,3.599398609,2.613998275,0.1353435231,-1.249444733,1
-7.314329876,-1.396268357,0.8299329143,-5.496725029,3.694352237,1
2.065352475,3.321144562,-4.044829415,8.701350121,3.691907234,0
-5.458692137,-0.6644775379,8.137974397,5.464018932,4.204642621,1
-0.8014808988,-10.91457596,1.210107061,6.879221213,0.6645421823,0
-1.731863892,2.310656773,-7.242952614,10.71115157,-4.524641664,1
3.681400959,1.014257014,6.466346163,0.9027427797,-7.986863744,0
-9.848432243,-4.358838789,6.80658978,2.072817896,-1.543589421,0
-3.891722652,-3.520117544,6.192906669,11.40659363,0.02821380721,1
-0.1769120182,0.7357306396,-6.691778235,7.803416159,-7.921755038,0
0.3149138824,1.683788269,10.53288557,0.4413753413,2.632336527,0
5.017409455,6.609330061,0.7068467666,5.398339511,4.743485709,0
-8.126900594,1.195705325,3.837375364,5.998609657,5.080847174,1
6.79116055,3.787639117,2.561618075,6.988350987,2.266051991,0
-3.230344846,-8.963456745,9.718939873,1.561780965,2.885197276,1
-3.916266713,8.722403631,6.880555104,2.203302334,-0.6212489206,1
-3.325191444,-4.53395308,6.439575171,5.039648376,-1.232958715,1
6.911644426,-4.114654375,-3.994738103,-6.351168068,-0.05934937351,0
0.4897341797,-5.339978824,8.057480562,-5.15096886,-0.8884331054,0
-7.832918852,-0.9006004695,0.9127262254,-7.166086884,-2.578455092,0
0.1755287064,5.711037745,8.393431313,-2.515085967,-5.880296839,1
-4.276960333,-4.588709754,-1.303774095,0.8747413562,8.898671461,0
3.31787045,0.1817753616,-6.102689203,-1.680260956,-8.360179484,0
-6.50317168,-1.335170161,-1.5264374,5.60718103,4.706972329,1
-1.451032152,1.198883443,-8.95741498,-3.94498021,4.653926535,0
5.454338739,10.5182445,-7.201474726,-0.2135881531,1.926100556,1
-7.947616243,-6.089644132,-2.721426311,-0.6137707641,-5.997395658,1
0.3895922308,4.433659529,-6.225954774,-4.440162046,-4.659756349,1
-3.306414922,-8.706518085,7.118067424,-2.23338169,5.158418902,0
-8.775186512,10.04101381,0.8231224468,3.210337017,2.681482634,1
5.521225394,5.460878296,3.03790221,-5.409515384,1.096891908,1
-4.064316657,-1.606738317,-0.3753598771,8.805424023,1.795364817,1
-8.218434066,3.194829289,-4.477394507,-5.593439542,6.317972764,0
4.606906625,5.135061039,4.848392656,-4.558083161,2.850355422,1
-4.592739918,-7.542119677,-0.929095873,-3.408827541,-3.08866419,1
-3.375901402,-6.707841506,-5.560883644,5.165019283,-2.647130704,0
-1.064631687,-2.50494736,0.5439606586,-6.212772571,7.32784838,1
-6.626866759,0.676387161,-0.4876105791,6.310208387,-6.04736665,0
3.265020601,-1.115625819,-9.097586446,-2.04208106,-6.720033133,1
-2.15373732,-7.127915768,4.319573243,6.790749827,0.883875645,0
2.995064011,-1.555970354,3.342203199,7.857273599,9.203340546,0
-0.8616779577,0.5387382013,-11.56831066,-1.966510438,-5.502208406,0
-4.638429074,7.460119069,0.1792730753,1.869801853,-4.393552253,1
1.862293201,2.992536428,-2.135178855,1.908258998,-10.01878978,0
8.468733371,5.502773236,-4.526976594,4.360270015,-1.579420816,1
4.920505945,-3.53236522,-4.479550379,-8.124715474,4.607997836,1
-4.631654304,-6.892353222,-1.307526581,4.965051758,2.163765409,1
2.805808895,-1.048936606,-2.405883702,-0.04010648269,-9.232403995,1
2.831705569,3.90564346,-3.855100622,4.217892553,10.63367172,0
-1.381282541,-7.429384628,7.545519616,2.989826925,4.585015951,1
5.148750371,6.876719371,-7.155478666,-6.41863659,-1.67371733,0
-7.862363987,6.837760004,-1.683512021,-3.854576415,4.211448515,1
7.090806423,-0.6715800035,7.463321957,9.276526812,-1.874652036,1
-3.510186607,-8.350774135,-4.222959092,0.9178285581,6.577793594,1
6.799311001,-2.448523498,0.8872422707,11.78605999,2.018834751,1
-2.799088226,0.671157774,-3.879085621,-13.14012253,-0.06728205689,1
11.74975418,1.558034397,6.303084897,-2.200991198,3.307954663,1
12.29167493,1.981799619,0.2601184026,-3.461569995,-1.39178638,0
10.11050752,-5.503007639,-0.01614111571,-3.363932962,-0.4221837702,1
-1.056204449,3.022286562,-7.22870588,7.174753773,5.478953886,1
8.02739754,3.084632421,-5.293534506,4.180494553,-1.24414199,0
-1.161919085,6.907620272,-3.235279079,-4.946055417,-9.219773929,0
-0.2360799775,1.632891582,-6.310325875,0.204973947,10.07053645,1
-4.861453731,1.063526295,-5.305225354,-2.977253875,-7.695825021,0
2.471758306,-4.975282152,8.801191004,-2.683318792,2.340046058,0
-1.035336298,7.988114374,-6.458503671,3.339788526,-1.803233327,0
1.313008111,8.175450789,-3.15292094,4.158151999,-2.051066943,1
-1.000657057,1.017035625,-10.66223543,-0.2754839585,2.281483752,0
-1.915585289,-1.436386147,3.476450439,6.888548256,-5.893175978,1
-2.208192003,1.1020967,-8.345424133,5.434131753,3.966532374,0
9.443723923,-1.922122261,-2.312455864,-3.808289596,-5.592048168,1
-3.344825742,-7.699305191,6.189248734,7.43442967,2.226049395,0
-8.623745994,5.41359396,-0.563878927,5.421365457,3.258042757,1
-3.066168306,0.4870080902,10.04374396,-4.896700728,3.083336546,1
1.423322113,4.446139981,-6.299668917,5.851471682,2.068923419,1
11.34345668,7.842571717,-2.187181069,-0.8306720098,-0.5884576925,1
12.00885592,1.572587473,0.5658461066,2.660040048,3.862428415,0
-6.477964117,-5.318639355,6.564034146,-0.6654849096,2.686753035,0
4.060693463,6.534381326,4.402477511,4.599172762,-0.5276655794,1
-6.833746611,-4.922093083,-3.970608513,-1.888475982,5.544441671,0
-5.832535857,5.464768925,-6.051587034,-1.263678842,-9.690161826,1
5.911221641,1.967782384,7.025786866,2.163176455,-5.30511807,0
3.161541065,-5.962357159,1.484061913,10.42664041,-3.540859384,0
-1.015637677,8.696986662,-0.2857057325,-9.574465161,-0.7608496774,0
3.325365453,-8.286292893,6.210762258,-0.4046059333,-1.594371632,0
-9.297562782,-2.978733661,-0.1061708742,-5.828590237,6.30069327,0
-5.911178566,-6.10382751,-2.973105543,-3.623175946,-2.415470388,1
-1.020937464,-11.84722757,-5.803875479,-3.237523115,-3.230225877,1
-6.020416527,3.854076628,-7.357016453,-5.986675778,-1.713096678,1
-8.954545802,2.964549821,-0.2249380969,0.3925726495,-3.289809024,1
-5.43364405,5.279296787,-5.297822565,9.313167952,-4.878782279,1
-0.2753016375,12.50477028,-3.523715069,-0.2715693571,0.2541876206,0
7.78465852,-3.662192242,3.701164666,2.836615984,-5.024184469,0
-0.6427777706,2.289338831,-8.535206974,-8.415676318,4.435357762,0
-7.46236861,3.542385536,4.566036892,-0.7208570446,-5.603234036,0
12.08265817,-2.896484898,1.107227902,5.109036065,-3.780415793,1
2.23729848,5.011491315,-9.991375322,-0.9330108066,-3.630614316,1
-6.143627188,8.891869534,-2.393063646,2.007271165,-4.17547722,1
-1.126953459,7.793830858,4.677557744,-2.698163867,7.268186965,1
-4.358314518,-1.67320413,11.83310248,-2.491357953,-0.9880807902,0
0.4675009107,0.8628208136,-6.868350596,-10.99355662,-0.06675455135,0
0.1457802543,-3.868467703,-6.551848583,9.825930437,3.812883022,0
0.08389604364,-10.24167564,6.203599506,5.018408874,-0.6572419487,0
-3.429330087,-10.0977958,3.234959322,2.833389014,3.432369459,1
-3.641185485,6.172026821,-5.301949298,-0.9622391486,4.428462786,1
0.6064235628,2.124355311,-7.766809698,-3.686559881,4.604922185,1
-1.599125324,-4.619695451,11.04400151,5.649430932,-4.26792373,1
-0.4278446315,9.687604194,1.00333377,2.222409756,0.1465952507,1
-8.960356628,6.898833883,1.736704778,1.59494736,-3.249322942,1
-5.461937152,2.571923867,-0.244798498,-6.787252465,4.174413474,1
5.766435739,3.018289195,5.718339878,-0.9112882477,-6.71627069,0
-8.712354584,-9.328305091,4.190876894,-1.934671182,3.430918244,1
13.09365999,-2.05267713,-4.428429668,0.7542838913,0.4033002805,1
-4.058242919,8.045125489,0.4553066638,-1.624001786,-3.995238956,1
-10.62395844,-0.4808147106,-0.7775104296,-2.463193974,1.108366959,0
-3.4545628,1.181492073,6.250730986,-9.572208136,4.997125762,0
2.64736207,11.58661696,1.263075749,-6.486674048,3.327082962,1
-7.87592607,2.642310865,-0.1067070834,5.320470615,4.865098958,0
0.4843368059,12.62166748,-4.503580028,2.065020386,-3.451432398,1
-6.387544237,-3.193181111,1.661579996,-6.488560685,5.014040802,0
-6.615024519,6.865943491,-7.03739879,4.894084572,-2.15016861,0
-8.382445776,-4.001547123,-2.31692976,-5.073451539,-5.158890327,1
-6.234975411,0.5610630479,-1.655423536,6.514654845,9.199409495,0
2.949487015,0.8063128866,1.242668273,1.618574439,-10.36756376,0
-0.4129612019,7.029444877,-5.841578768,-1.566081158,-7.605242604,1
2.11219489,0.1784507663,10.48136923,0.03748399434,2.578038429,0
2.588202152,-1.095910046,10.15244108,5.46771034,1.769823281,1
0.7529059027,-5.80920609,-7.002682283,-2.119547974,5.758143324,0
-0.2451963083,-6.243950737,0.1876673973,8.647916935,-2.670444081,0
-6.202921008,2.512250743,7.27565743,0.3032199703,-1.478253626,1
5.760841172,-5.605070871,-6.212229225,-0.3795353926,-8.103088946,0
2.278184322,-0.04881675274,-1.20986729,0.3921504327,-11.71281061,1
-2.252653125,-3.233167795,-0.7582666588,9.131018385,-0.7222982971,1
-5.549437402,8.652882348,-2.058784845,-5.073224075,2.890531792,1
-0.8783329253,-11.23786804,-3.044184828,-7.341918405,2.401671527,1
-3.675544812,0.06989138066,1.962141253,7.273097984,-8.587056128,1
11.70034609,-1.557146245,3.710501561,-2.391948663,-3.191857874,0
7.632889635,-1.68634551,-1.782819003,-10.19371397,0.8972103788,0
-6.771215489,1.256808196,2.256434583,-0.3169624042,-10.78791508,0
1.254740276,5.23089452,5.686529131,-6.965767958,-3.347362028,0
1.500247144,6.407925493,10.34935746,2.295909251,3.647924114,0
-3.991077473,7.669427218,2.886015723,-0.9799487976,-6.079621728,0
-7.072607503,1.266275242,11.53929689,3.233823198,-0.8728029511,1
-2.322227909,4.532476872,4.737889827,7.350523338,-8.160031715,0
2.830226688,7.57104959,1.060390267,-3.189684573,4.834305514,1
9.00629234,-3.094352867,-0.01912224301,-3.977272266,3.806917163,0
6.669243996,0.7075807414,0.7928217875,11.42559323,4.45508327,1
-4.881281439,7.186528426,4.531704275,7.302004584,4.435232362,0
-7.623232697,2.15930231,-0.7319046447,0.6548064496,-8.958754427,1
3.469738626,0.4307914148,-5.206131825,11.35044131,-0.915972752,0
0.2437925902,0.290158896,-2.188855956,4.860976331,11.85057769,0
7.762365621,2.175262441,6.665088616,3.032621434,1.547163293,0
-6.306861004,-4.998544036,2.91542244,4.713650715,-5.05171958,0
-6.42107027,-6.780148614,3.085119664,1.619998559,0.8106063671,1
-9.853574841,2.627205732,4.619979841,3.844581731,-7.475281298,1
-3.35351914,3.944269672,9.97645301,-2.036831837,6.206315134,0
-6.921408504,-5.806082177,1.477981081,10.02731069,3.413521101,1
0.3689549746,-6.089098151,4.860409086,8.673332874,-5.739030955,0
0.2524091014,-11.44377543,-1.716978439,4.850368128,-6.205014723,1
-1.756812562,4.963377987,4.650425133,0.8340621399,-7.067982386,1
3.500369522,-2.28884529,3.268524103,-5.831859353,7.669078636,0
-5.752174648,3.566132572,6.520979554,-3.844043532,9.638222879,1
4.243537125,-2.800641459,-6.826877026,7.600586326,3.711285176,1
2.69641484,0.3536776457,-7.191782697,2.107484081,7.578986187,0
-8.379951791,-1.591689117,3.081297137,0.6069794026,-4.168946832,1
-5.417453326,-4.080061702,-0.2582296152,4.921388702,-7.121625283,0
5.271179325,-3.856838005,6.133656971,3.526994582,2.697782518,1
9.902656754,3.876448075,0.7328448873,2.714095632,0.08463340378,0
6.999014988,-7.652245177,3.53666045,-4.861249807,-0.5632194275,1
3.529699043,3.608672286,-1.581898103,-7.412772177,-4.131236622,1
2.336103978,-4.22117114,-3.512050296,2.041328945,-11.36762118,0
2.098456965,-0.3372263422,-2.197631651,7.148838872,-9.14041983,1
5.452676874,-2.550005584,7.434382819,2.590138469,-1.336757738,1
5.207816064,-6.072229366,1.146804159,-2.330341924,8.559265687,1
7.342011728,-1.508112498,-1.785277581,-10.8337118,4.38906973,1
-2.891107937,10.94969677,-1.485203224,2.948989344,2.200742755,1
3.44793592,1.842909424,8.052443521,-2.911662703,-3.375766046,1
-5.727686756,3.308302098,4.862877383,7.811750758,8.220566605,1
8.640458426,-1.86709185,8.08714056,-0.140541453,-5.043297718,0
-7.755524966,8.88810649,-0.7482526504,-0.4899737131,2.01331549,1
-7.808970308,4.300276698,0.4812309621,2.474021877,5.930871399,0
1.876627836,6.47238501,5.366976354,8.353022487,-0.09529111577,1
2.516149382,-4.688042649,1.257609232,2.270509069,9.271162602,0
8.051433266,7.193345722,-0.1023825535,4.901011759,-1.843854991,1
-3.910523435,6.806926789,-6.011045141,-3.346101749,-3.470517764,0
10.55658587,3.959454001,3.885814325,-0.01854500148,1.334661689,1
7.018177908,-0.5690107255,-3.009139941,6.256498511,-1.490875195,1
7.552714565,-5.2751853,3.989481268,8.020386694,1.971385107,0
2.745088045,8.206378428,6.138054343,6.094191729,4.393741089,0
4.318895697,6.804057086,-5.39066957,-0.6757258881,2.352875526,1
-0.6284627229,8.347471626,-2.901831718,-1.148115707,4.49287826,1
2.299712267,0.5695005446,-1.090765646,-7.670872603,-5.861308423,1
-8.564426587,-1.887983492,3.354449353,5.70823059,0.4998886272,0
2.457517688,-6.949551877,-1.233523008,-4.262691832,5.096294228,1
0.826771787,11.35793273,2.109230937,5.861333311,5.244971792,1
-7.320823402,-5.763688211,2.526253491,4.596204568,2.584258074,0
6.818876203,4.519504212,-7.098330464,-1.213495035,-1.489343288,0
8.769916449,6.777186814,-6.975133491,-3.303898149,3.686471779,1
4.398340209,0.3426129647,-4.272746956,-6.68237588,-7.850267882,1
-1.711962432,0.4975019287,4.01010436,2.841035501,8.524626488,1
-10.72513124,-1.501171393,1.377004209,-3.221293749,3.800680253,1
-4.503132785,-1.827011708,2.451791103,9.522749072,4.867216232,1
0.1401964554,-1.360675552,7.484199198,-6.745958169,-4.196155115,0
-7.172253073,-6.540158118,6.733648011,2.039372481,-0.5329746682,1
5.077494435,1.173078768,-0.2034418923,-7.915459409,-5.580954238,0
-1.150531264,-2.536135951,2.823649034,-8.672205201,7.284514762,1
-8.046546356,6.247135808,-6.314092485,4.01148248,6.022178206,1
-6.87973807,7.214329687,-3.470090569,5.290131741,2.143741787,1
0.3837120022,2.941526604,-10.04660397,-2.75442131,8.870123917,1
8.451645647,-3.610249407,-5.213552094,-3.05759066,0.0761511813,0
-1.275793638,1.130302878,9.054253616,3.397253201,1.890483575,1
1.280996486,4.345770514,-3.922062597,-7.476376327,2.862612205,1
-4.380755521,-1.525132186,-3.950106205,10.33820059,-0.03496288163,1
1.849265602,-11.10242751,1.706359732,1.455528978,6.106233858,0
1.707026392,1.407107952,6.640028425,-7.096612744,-4.653409307,0
1.582647132,-4.185557813,3.976518855,-11.36742142,-1.986293511,0
6.283715273,-6.966596046,1.05896118,2.605698356,2.017523036,1
-7.306530362,8.861296877,6.580315022,3.747838666,2.597150607,1
3.950094918,3.601090899,6.982012011,4.602312644,-1.224386001,1
2.940791492,1.478374518,10.54090185,-2.071694701,-4.214691385,1
-3.362676537,5.588680775,-2.203929048,-7.709910661,3.762848396,0
-1.897806991,2.558232429,8.953914056,-6.406848812,-6.134613829,0
8.160053902,3.062818522,-1.114860479,-2.148068927,6.259037388,0
-4.2858447,4.895761897,-0.9483842024,-12.17707501,-2.117182639,1
-3.822602815,0.7599887838,3.661133011,4.759552231,-10.85140048,0
-6.414480944,2.315444567,-5.027282762,-3.165445703,4.266090974,1
4.49847175,-6.44814516,2.041042923,2.950195139,-9.711625422,0
1.883674958,9.456597515,0.5691410901,0.06013554347,7.120182176,1
-1.661615079,6.863425407,4.071738988,6.139148813,8.053832658,0
-7.478544758,3.268119272,0.3228960658,10.86289892,-3.359156143,1
-9.058697979,-1.269587298,3.021166761,5.566350443,4.496268806,1
0.4000300937,4.797298501,0.1901867711,0.1133072868,-10.98985412,1
1.954240358,-9.333555189,-5.297614506,-6.80579108,-1.918900849,0
2.307466467,10.74161867,-2.695782516,1.359822277,6.259142661,0
-5.451406312,1.384659606,-1.645313154,-1.437585362,9.197346354,0
2.960201866,-2.091676834,5.486774286,-7.660542898,9.69914859,1
-4.931781757,-0.3995556468,-7.842686691,-3.006082831,-5.09643164,0
-3.500202605,7.068814339,6.346731395,-4.273547023,0.4860473276,0
-0.5638968428,-1.197020467,-3.151458026,-9.503670916,9.695241811,1
-2.535408112,11.03047586,4.451865253,3.151521901,6.176496869,1
-2.358008841,-4.764510717,9.925413636,-3.927835184,-1.340711322,1
-1.24104912,5.968199448,-7.264961179,2.553074488,-1.882164222,1
-7.67352808,3.265940012,-5.034558245,0.8322552077,-10.02053777,1
-6.690521532,-2.190804285,-2.755351472,7.871837202,1.370954244,0
4.45345191,6.79544963,6.119950543,-6.213383283,-1.388777854,1
11.77053564,-0.7398493635,0.08210660394,-1.840709443,-1.22969949,1
-7.401783403,0.2956160634,0.7681992311,5.862757023,-10.30359955,1
9.45052486,-4.684650249,1.171773344,2.562224712,1.342975677,0
-9.210556358,-2.371853606,3.84441868,-3.969100928,0.0815161875,0
0.0663764741,-5.244417386,-6.647758779,-6.315201785,-3.068747314,0
3.863611696,-2.001213018,1.790810117,-2.374173841,-11.88376829,0
-2.093696836,4.970593119,-2.390740687,7.762131414,5.093457813,0
-1.707947778,1.425514411,3.467208196,6.966555401,10.17331786,0
-0.4644692503,-6.05797888,-1.492272979,7.59930911,-1.763174014,1
7.730993617,-1.693958694,5.686752139,-7.276899981,6.93324011,1
1.684817857,-7.33339834,4.764615219,-9.463920453,0.339571857,0
-4.152442959,-3.554303556,2.951993488,8.308313495,-3.658114955,0
-1.228724914,-4.467476397,-6.825479561,5.451148611,-1.493217102,1
2.925423695,6.066877765,-0.4261304584,5.903437155,-6.372027384,0
-1.8881069,3.40702618,11.37570321,-0.5377538125,7.150623915,1
1.361004815,-6.18500953,2.55166179,7.736948605,-6.125518051,1
1.018987712,0.4352221152,-2.064622179,-9.620073641,-1.401343697,1
2.926593985,-2.758854217,3.100792706,8.27676018,-5.167600659,0
-2.855730055,6.143927288,1.607365151,-9.393187425,2.698401491,1
1.062779866,-6.646690855,-0.4861179514,3.61480173,-7.898664281,0
-4.35748484,-8.582920308,7.694348547,-3.444632967,-2.297239433,0
-7.158447154,-1.123517885,4.840916867,-0.59715732,6.686050323,0
5.893032601,4.326669578,5.590390813,-4.373298675,-9.600723222,1
-4.164481937,-1.894046539,-10.15008124,-2.908488687,-6.048654579,0
-1.960861689,-9.266419068,1.808499536,3.955282313,-9.347383075,1
2.747636651,-4.970348081,-9.659059773,1.746169914,-8.209725192,1
2.062111143,7.776339172,-2.688449356,6.722505747,-1.963772712,0
-10.15604891,3.040845101,-7.24658777,-2.020679299,0.1084086018,0
-3.430690994,-4.69587395,10.55289969,-0.1169655931,4.878704171,0
0.2261949674,1.706374593,-9.457456986,1.551544269,5.117258966,0
-0.2754380007,6.217019438,6.499501032,-2.503622549,-3.5722771,1
-9.379874608,-1.493563056,4.024080119,4.929511672,3.646082228,1
